stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Public\Project1_old\Debug\allegro5.cfg r
system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.00019] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00026] Also searching C:\Users\Public\Project1_old\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00052] PathFindOnPath found: C:\Windows\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00055] Calling LoadLibrary C:\Windows\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00165] Loaded C:\Windows\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00170] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.02433] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.02570] Using DirectSound driver
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.02583] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.02585] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.02587] added dtor for object 007B08C0, func 6E211181
dtor     D               dtor.c:184  _al_register_destructor          [   0.02590] added dtor for object 007E0390, func 6E211280
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.02592] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.02594] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.02689] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.02693] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.02702] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.02706] added dtor for object 007E3010, func 6E21113B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02709] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02712] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02714] 
system   D            wsystem.c:674  maybe_parent_dir                 [   0.02727] Also searching C:\Users\Public\Project1_old\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.02754] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.02757] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.02948] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.03178] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.03275] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03278] al_display=007F7A08
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.03280] al_display->vt=007E0588
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03326] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.03329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03332] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03333] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03341] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03343] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03345] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03346] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03348] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03350] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03352] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03353] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03355] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03357] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03359] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03360] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03362] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03363] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03365] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03369] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03370] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03372] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03375] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03377] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03379] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03380] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03383] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03385] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03387] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03388] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03390] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03392] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03393] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03395] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03397] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03399] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03401] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03403] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03405] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03406] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03408] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03410] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03411] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03413] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03415] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03416] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03418] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03420] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03421] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03425] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03426] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03428] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03430] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03432] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03433] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03435] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03437] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03439] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03440] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03442] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03443] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03445] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03449] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03451] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03453] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03456] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03460] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03461] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03463] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03466] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03470] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03471] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03473] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03474] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03476] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03477] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03479] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03481] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03483] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03487] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03488] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03490] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03491] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03493] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03495] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03497] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03498] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03500] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.03501] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03503] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03514] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03516] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03517] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03519] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03521] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03522] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03524] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03527] Single Buffer requirement not met.
