stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Public\Zavrsen - debug\Project1_old\Debug\allegro5.cfg r
system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.00018] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00024] Also searching C:\Users\Public\Zavrsen - debug\Project1_old\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00046] PathFindOnPath found: C:\Windows\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00049] Calling LoadLibrary C:\Windows\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00131] Loaded C:\Windows\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00136] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.02627] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.02754] Using DirectSound driver
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.02765] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.02768] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.02771] added dtor for object 00409958, func 00211181
dtor     D               dtor.c:184  _al_register_destructor          [   0.02774] added dtor for object 0042A3B0, func 00211280
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.02777] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.02779] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.02874] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.02879] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.02887] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.02891] added dtor for object 0042E4C0, func 0021113B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02894] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02896] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02898] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.02901] added dtor for object 0042B4D8, func 0021113B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02919] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02921] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02923] 
